Source:,C:\Users\marco\Documents\KiCad\Projets\Alexiares_LPF\LPF.sch,,,,,,
Date:,22/07/2020 10:55,,,,,,
Tool:,Eeschema (5.1.5)-3,,,,,,
Component Count:,134,,,,,,
Ref,Value,Footprint,Manufacturer,Type,Vendor,Reference,
C48,390p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D391KXLAJ,
C49,100p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D101JXLAJ,
C50,82p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D820GXGQJ,
C51,150p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D151GXLQJ,
C52,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C53,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C54,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C55,82p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,VJ1111D820GXGQJ,
C56,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C57,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C58,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C59,C (nc),ATC_B:ATC_500_HandSoldering,,,,,
C60,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C61,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C62,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C63,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C64,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C65,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C66,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C67,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C68,100n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C70,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
D1,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D2,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D3,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D4,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D5,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D6,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D7,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D8,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D9,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D10,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D11,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D12,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D13,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D14,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
D15,D,Diode_SMD:D_SMB,Comchip,Schottky SS24 (DO214),Mouser,750-SS24B-HF,
